dataset,exp_id,outcome,treatment,treatment_col,path,method,n_obs,skipped,coef,se,t_stat,p_val,ci_lower,ci_upper,significance,ols_coef,ols_se,ols_pval,ols_r2,n_confounders
20serp,1,rank_delta,T1,T1_statistical_density_code,code,PLR,349,,0.3845393142322665,0.16941126207664353,2.2698568531901775,0.023216269732908624,0.052499341986568915,0.7165792864779641,*,0.1264686721584573,0.1171570878559509,0.2811414628235908,0.034706596759486064,8
20serp,2,rank_delta,T1,T1_statistical_density_code,code,IRM,349,,0.8862381945083517,1.0116500680731324,0.8760323579044976,0.3810124431751325,-1.0965595038724818,2.869035892889185,,0.24193224138762143,0.31877138767283997,0.44840853037000244,0.03362772765951105,8
20serp,3,rank_delta,T1,T1_statistical_density_llm,llm,PLR,355,,0.01064720744202779,0.027790058644959082,0.383130081805679,0.7016233161968881,-0.043820306630347985,0.06511472151440356,,-0.05187613480377794,0.01911068866291325,0.0069709779163531676,0.04136956940532799,8
20serp,4,rank_delta,T1,T1_statistical_density_llm,llm,IRM,355,,-0.6945433008765984,1.344000026839876,-0.5167732790226695,0.6053144352176978,-3.3287349487036213,1.9396483469504247,,-0.6054852317338582,0.33056353482741274,0.06786179584600677,0.03612215480198688,8
20serp,5,rank_delta,T2,T2_question_heading_code,code,PLR,355,,1.0715421988510185,0.45632322392886726,2.348208775405332,0.01886394442367346,0.17716511464123252,1.9659192830608045,*,1.101682320879955,0.29729079729731334,0.00024542389308532654,0.048049371290048826,8
20serp,6,rank_delta,T2,T2_question_heading_code,code,IRM,355,,0.08128961038684766,1.3214185167713728,0.0615169299923713,0.9509475317569197,-2.50864309098938,2.6712223117630756,,1.101682320879955,0.29729079729731334,0.00024542389308532654,0.048049371290048826,8
20serp,7,rank_delta,T2,T2_question_heading_llm,llm,PLR,355,,0.03981388983327459,0.4869957656079583,0.08175407805357716,0.9348422741762533,-0.9146802713818336,0.9943080510483828,,-0.18754858076273992,0.2851571850591403,0.5111679220821781,0.03254747493619292,8
20serp,8,rank_delta,T2,T2_question_heading_llm,llm,IRM,355,,0.09653020504313926,1.6765782047881137,0.057575724632146684,0.9540865865252379,-3.1895026936063826,3.3825631036926613,,-0.18754858076273992,0.2851571850591403,0.5111679220821781,0.03254747493619292,8
20serp,9,rank_delta,T3,T3_structured_data_code,code,PLR,355,,1.0970677025125442,0.5148164299163633,2.130988132392692,0.03309011988878203,0.08804604122698323,2.1060893637981053,*,0.7171410555374464,0.48225265098145953,0.13791096879416254,0.036959881277253026,8
20serp,10,rank_delta,T3,T3_structured_data_code,code,IRM,355,,3.2967735507210754,1.9061399486618005,1.7295548278265533,0.08370984265628752,-0.4391920981490811,7.032739199591232,†,0.7171410555374464,0.48225265098145953,0.13791096879416254,0.036959881277253026,8
20serp,11,rank_delta,T3,T3_structured_data_llm,llm,PLR,355,,0.2975186346487977,0.45325582154864097,0.6564033389185484,0.5115646426894674,-0.5908464513696523,1.1858837206672477,,-0.28685372244311036,0.3388419227566638,0.3978211499118815,0.03316256146772589,8
20serp,12,rank_delta,T3,T3_structured_data_llm,llm,IRM,355,,1.3760684926504405,1.5758940472555014,0.873198610685111,0.38255483198158025,-1.7126270834214044,4.464764068722285,,-0.28685372244311036,0.3388419227566638,0.3978211499118815,0.03316256146772589,8
20serp,13,rank_delta,T4,T4_citation_authority_code,code,PLR,355,,-1.122913281410329,0.6828426803959349,-1.6444685044573175,0.10007946487480628,-2.4612603420931563,0.21543377927249807,,-1.607850812343943,0.8888389563693379,0.07133167532297155,0.04088757345203664,8
20serp,14,rank_delta,T4,T4_citation_authority_code,code,IRM,355,,-2.1627565958392974,4.25813125530668,-0.5079121488197363,0.6115149543845448,-10.508540497684722,6.183027306006126,,-2.014115015335649,1.108115012495062,0.06999186086359631,0.040912659451601274,8
20serp,15,rank_delta,T4,T4_citation_authority_llm,llm,PLR,355,,-0.047002227059253554,0.24471313664720407,-0.19207071472838552,0.8476868140591232,-0.5266311614316024,0.43262670731309527,,-0.4165722621066768,0.24630208158203165,0.09168137255209892,0.038825429400222156,8
20serp,16,rank_delta,T4,T4_citation_authority_llm,llm,IRM,355,,0.5552635272417715,1.9777531836837068,0.2807547128846247,0.7788985408961243,-3.321061483087724,4.431588537571267,,-0.7172646508758053,0.5105300723577897,0.16093855729902773,0.036437484945501586,8
20serp,17,pre_rank,T1,T1_statistical_density_code,code,PLR,349,,0.21547047786584586,0.2201425532085879,0.9787770457158496,0.3276901538469139,-0.21600099788767893,0.6469419536193707,,-0.004884949774353264,0.13971978696902132,0.9721302391735808,0.04162364346164571,8
20serp,18,pre_rank,T1,T1_statistical_density_code,code,IRM,349,,3.0570821718342382,1.6947018809245076,1.8039055755142692,0.07124611078655078,-0.2644724793100832,6.37863682297856,†,0.017238442635526877,0.3799495384292453,0.9638388297303238,0.04162451492780039,8
20serp,19,pre_rank,T1,T1_statistical_density_llm,llm,PLR,355,,0.035564034613929735,0.03451237701777525,1.0304718969549052,0.3027885379909414,-0.03207898136177763,0.1032070505896371,,-0.017612226705091848,0.022799811138371606,0.4403634960795083,0.043049770771215634,8
20serp,20,pre_rank,T1,T1_statistical_density_llm,llm,IRM,355,,-1.7684547144452865,1.9633849992816719,-0.9007172383879356,0.3677386807825719,-5.616618600823563,2.0797091719329908,,-0.3692178956209482,0.39323885874950293,0.3484312093483921,0.043349551003005526,8
20serp,21,pre_rank,T2,T2_question_heading_code,code,PLR,355,,0.9615851550229018,0.5631428353981994,1.7075333193983777,0.08772297023229698,-0.1421545205093373,2.0653248305551406,†,0.7405008870285613,0.35512052965320495,0.03778492609791674,0.047354394457359894,8
20serp,22,pre_rank,T2,T2_question_heading_code,code,IRM,355,,0.2759049133029388,1.530814796189993,0.18023402568986904,0.8569688471672273,-2.7244369542304705,3.276246780836348,,0.7405008870285613,0.35512052965320495,0.03778492609791674,0.047354394457359894,8
20serp,23,pre_rank,T2,T2_question_heading_llm,llm,PLR,355,,0.4891923013770307,0.580395254618294,0.8428606152177375,0.39930640265189465,-0.64836149447278,1.6267460972268415,,0.12183393722409168,0.33875825978305085,0.7193299685411015,0.04243309793219863,8
20serp,24,pre_rank,T2,T2_question_heading_llm,llm,IRM,355,,0.08261879990823154,3.0758862292191513,0.02686016118652258,0.9785712688111385,-5.946007429904019,6.1112450297204814,,0.12183393722409168,0.33875825978305085,0.7193299685411015,0.04243309793219863,8
20serp,25,pre_rank,T3,T3_structured_data_code,code,PLR,355,,0.4600530031497697,0.651732297784993,0.705892595339109,0.4802549327127823,-0.8173188280703502,1.7374248343698895,,0.08625868011146173,0.574237776709363,0.8806833881050239,0.042349661343697,8
20serp,26,pre_rank,T3,T3_structured_data_code,code,IRM,355,,2.921978698924207,2.8655005128656943,1.019709710678792,0.3078661548745859,-2.694299103973607,8.538256501822021,,0.08625868011146173,0.574237776709363,0.8806833881050239,0.042349661343697,8
20serp,27,pre_rank,T3,T3_structured_data_llm,llm,PLR,355,,0.3678194578203114,0.5561255906170596,0.6613963896395963,0.5083581406556399,-0.7221666706701917,1.4578055863108144,,-0.3219633914605579,0.4024924433505941,0.4243052318478817,0.043240106869135486,8
20serp,28,pre_rank,T3,T3_structured_data_llm,llm,IRM,355,,-1.0111500460285334,2.369469683786836,-0.4267410775277508,0.6695679276424287,-5.655225288710243,3.6329251966531757,,-0.3219633914605579,0.4024924433505941,0.4243052318478817,0.043240106869135486,8
20serp,29,pre_rank,T4,T4_citation_authority_code,code,PLR,355,,-1.6312374133289689,0.842205169404286,-1.9368646412878066,0.052761891670542724,-3.2819292129548243,0.019454386296886783,†,-1.8743580895018317,1.055920429056003,0.07676396684638909,0.05067688339732612,8
20serp,30,pre_rank,T4,T4_citation_authority_code,code,IRM,355,,-1.3375658207526626,6.1426868083345045,-0.2177493110893803,0.8276244407023616,-13.377010733397585,10.70187909189226,,-1.8946969789252626,1.318446214327646,0.15160492314247412,0.04777049997754146,8
20serp,31,pre_rank,T4,T4_citation_authority_llm,llm,PLR,355,,0.09508847830404764,0.32988421655130445,0.2882480383515385,0.7731568791723604,-0.551472705204721,0.7416496618128163,,-0.4229494900378535,0.29282758772345624,0.14954428344905227,0.047163461024668396,8
20serp,32,pre_rank,T4,T4_citation_authority_llm,llm,IRM,355,,4.577128934454419,3.6243671555897676,1.2628767279813888,0.20663348462321995,-2.5265001572514043,11.680758026160241,,-0.6069061676506601,0.6070680479498292,0.31814024163761967,0.04447885046536004,8
20serp,33,post_rank,T1,T1_statistical_density_code,code,PLR,411,,0.060450408790952814,0.04450250924744283,1.3583595579933814,0.17434962035256885,-0.02677290655569585,0.1476737241376015,,0.12465474670722396,0.04366600566935074,0.0045309340041701784,0.06439742144795568,8
20serp,34,post_rank,T1,T1_statistical_density_code,code,IRM,411,,-0.6234511787013967,1.1467350046104943,-0.5436750218618828,0.5866651238782947,-2.8710104875493383,1.6241081301465452,,0.13160584032226122,0.19743717126205315,0.5054296895906313,0.051107817386767285,8
20serp,35,post_rank,T1,T1_statistical_density_llm,llm,PLR,419,,0.035609573010504054,0.01908628564681668,1.8657151878287654,0.06208122362148884,-0.0017988594559004145,0.07301800547690852,†,0.023512493231668385,0.012409150757936081,0.05882784499020623,0.053312279976608035,8
20serp,36,post_rank,T1,T1_statistical_density_llm,llm,IRM,419,,-0.6271344360729393,1.4918360842300429,-0.42037757546038446,0.6742096471290138,-3.551079432001086,2.2968105598552073,,0.10940650391520756,0.2028492055826556,0.5899395870460035,0.049649588412675416,8
20serp,37,post_rank,T2,T2_question_heading_code,code,PLR,419,,-0.6164042752785202,0.29514194663162013,-2.088501083337645,0.03675265778119772,-1.1948718610035383,-0.037936689553501934,*,-0.6370558501435231,0.1945086646680692,0.0011457738127349036,0.06047532198775829,8
20serp,38,post_rank,T2,T2_question_heading_code,code,IRM,419,,0.13355077604107407,0.8754287773121358,0.15255470176696773,0.8787494495000413,-1.5822580985206471,1.8493596506027954,,-0.6370558501435231,0.1945086646680692,0.0011457738127349036,0.06047532198775829,8
20serp,39,post_rank,T2,T2_question_heading_llm,llm,PLR,419,,-0.39230418852896665,0.3051666906500184,-1.2855406587571585,0.19860341816367644,-0.9904199114842788,0.20581153442634548,,-0.4166792394050058,0.19008157497357378,0.02893469910614248,0.054076808245228314,8
20serp,40,post_rank,T2,T2_question_heading_llm,llm,IRM,419,,-0.8360028341265113,1.1641772355013658,-0.7181061513941024,0.47269183757733,-3.117748287330593,1.4457426190775704,,-0.4166792394050058,0.19008157497357378,0.02893469910614248,0.054076808245228314,8
20serp,41,post_rank,T3,T3_structured_data_code,code,PLR,419,,-0.8103860303277718,0.34237883373148886,-2.366927947897966,0.017936424338025034,-1.4814362135103174,-0.13933584714522618,*,-0.9581542934287322,0.31377998043423516,0.0024090100520484025,0.06657332194093946,8
20serp,42,post_rank,T3,T3_structured_data_code,code,IRM,419,,-0.39307555891670487,2.7179149874771955,-0.14462393442318913,0.8850077989700645,-5.72009104741364,4.933939929580231,,-0.9581542934287322,0.31377998043423516,0.0024090100520484025,0.06657332194093946,8
20serp,43,post_rank,T3,T3_structured_data_llm,llm,PLR,419,,-0.34573086952913873,0.308859267237289,-1.1193799448585824,0.2629780830781865,-0.9510839096056571,0.2596221705473796,,-0.5055509587954058,0.22662208819142557,0.026235263694392625,0.055911764385183305,8
20serp,44,post_rank,T3,T3_structured_data_llm,llm,IRM,419,,-0.9472179330473829,0.8940604008471511,-1.059456309830816,0.2893920166094157,-2.699544118711243,0.8051082526164772,,-0.5055509587954058,0.22662208819142557,0.026235263694392625,0.055911764385183305,8
20serp,45,post_rank,T4,T4_citation_authority_code,code,PLR,419,,0.08179558441929159,0.5645017372872777,0.14489872929773717,0.8847908297216168,-1.024607489874064,1.1881986587126474,,-0.5616577344716891,0.6055993445664271,0.35424451501875576,0.051281375974453924,8
20serp,46,post_rank,T4,T4_citation_authority_code,code,IRM,419,,-0.17240914842475752,2.7015423944389987,-0.06381878321793279,0.9491145219004786,-5.467334944233296,5.12251664738378,,-0.3093178466957776,0.7562610335993674,0.6827468735266398,0.04971868784831068,8
20serp,47,post_rank,T4,T4_citation_authority_llm,llm,PLR,419,,-0.15092105389058652,0.165179042905166,-0.9136816101860731,0.3608841697920848,-0.4746660289855082,0.17282392120433515,,-0.12844123285391654,0.16600920588486404,0.43955549843819397,0.050538826404299186,8
20serp,48,post_rank,T4,T4_citation_authority_llm,llm,IRM,419,,-0.14696770928734404,1.6069844307220313,-0.0914555900341301,0.9271305923141064,-3.296599317219127,3.002663898644439,,-0.05475154623973683,0.3368940197001837,0.8709777402049291,0.04939272948022877,8
50serp,1,rank_delta,T1,T1_statistical_density_code,code,PLR,321,,0.026898681601939183,0.3138705932612318,0.08569991002486697,0.9317049736565362,-0.5882763769962953,0.6420737402001737,,0.12143888860064378,0.21301028951081566,0.5690160053572693,0.03562057476500913,8
50serp,2,rank_delta,T1,T1_statistical_density_code,code,IRM,321,,0.5762103081788295,2.756810887653864,0.2090133606042173,0.8344378087118582,-4.827039743810641,5.9794603601683,,0.88253338240492,0.618415907162515,0.15455799505396414,0.03814420063296586,8
50serp,3,rank_delta,T1,T1_statistical_density_llm,llm,PLR,327,,-0.019077171346593366,0.05448887909269837,-0.3501112826002279,0.7262551838323001,-0.1258734119262397,0.08771906923305296,,-0.09299816013952941,0.03830365173356493,0.015742045254419034,0.04176106760598086,8
50serp,4,rank_delta,T1,T1_statistical_density_llm,llm,IRM,327,,-2.754183414681454,1.7547826784388347,-1.5695296337958777,0.11652458005986945,-6.193494265116301,0.685127435753393,,-1.4997007717861253,0.6386619917937909,0.01947900031760919,0.04100636006033809,8
50serp,5,rank_delta,T2,T2_question_heading_code,code,PLR,327,,-0.9930136369484469,0.947420687287808,-1.0481232363535975,0.29458183187793063,-2.849924062240736,0.8638967883438419,,-1.5498517801678078,0.5773866967577881,0.007651242590399968,0.041803475074888685,8
50serp,6,rank_delta,T2,T2_question_heading_code,code,IRM,327,,6.5542838337234075,7.664681798420132,0.8551279760986813,0.39248030341780893,-8.468216444139742,21.576784111586555,,-1.5498517801678078,0.5773866967577881,0.007651242590399968,0.041803475074888685,8
50serp,7,rank_delta,T2,T2_question_heading_llm,llm,PLR,327,,-2.9241967964552344,0.9480428509718227,-3.0844563549608432,0.0020392452819611535,-4.782326640160681,-1.0660669527497881,**,-3.388510942296635,0.5591979194947103,3.868193947297337e-09,0.07287157578925663,8
50serp,8,rank_delta,T2,T2_question_heading_llm,llm,IRM,327,,-2.1800727452574984,6.682272981248973,-0.32624718436001765,0.7442373446219843,-15.277087123370581,10.916941632855586,,-3.388510942296635,0.5591979194947103,3.868193947297337e-09,0.07287157578925663,8
50serp,9,rank_delta,T3,T3_structured_data_code,code,PLR,327,,-1.4472126849532587,0.9970421870097119,-1.4515059681613671,0.1466390215758841,-3.401379462559343,0.506954092652826,,-1.1121010725017937,0.9151952783639463,0.22521252087884366,0.03701498424506611,8
50serp,10,rank_delta,T3,T3_structured_data_code,code,IRM,327,,-1.7416187181895308,4.5396052334564505,-0.3836498172470967,0.7012380114287599,-10.639081479793717,7.155844043414656,,-1.1121010725017937,0.9151952783639463,0.22521252087884366,0.03701498424506611,8
50serp,11,rank_delta,T3,T3_structured_data_llm,llm,PLR,327,,-0.3333923418421524,0.8558127354867704,-0.38956225821122537,0.6968602650649824,-2.010754480906926,1.3439697972226212,,-1.0504031235390623,0.6363800861969122,0.09981251471762774,0.03740611161360241,8
50serp,12,rank_delta,T3,T3_structured_data_llm,llm,IRM,327,,5.687422785840312,3.703625302838539,1.535636658892396,0.1246275179928531,-1.5715494199544757,12.946394991635099,,-1.0504031235390623,0.6363800861969122,0.09981251471762774,0.03740611161360241,8
50serp,13,rank_delta,T4,T4_citation_authority_code,code,PLR,327,,-1.3917433202782323,2.3354499689911115,-0.5959208455574195,0.5512281067160634,-5.969141147195997,3.1856545066395325,,-2.239212207834735,1.7035303724445434,0.1896437325702218,0.03865539410773422,8
50serp,14,rank_delta,T4,T4_citation_authority_code,code,IRM,327,,-3.214566539215978,10.452369656872438,-0.30754428371200965,0.7584291215843794,-23.700834619785233,17.27170154135328,,-3.4317504516941533,2.464556598891829,0.16476473757702575,0.03924104091513603,8
50serp,15,rank_delta,T4,T4_citation_authority_llm,llm,PLR,327,,0.8078393830211663,0.5951884483934604,1.3572833700010405,0.17469118930310057,-0.35870853984429263,1.9743873058866253,,0.586722740205105,0.5023153165074834,0.24366967219776378,0.03707107312854874,8
50serp,16,rank_delta,T4,T4_citation_authority_llm,llm,IRM,327,,2.037687164963577,6.309845715775925,0.3229377161899436,0.7467424119521318,-10.329383185961595,14.404757515888749,,1.0575989959392003,1.0569497479765424,0.31777651094471215,0.035990361178931396,8
50serp,17,pre_rank,T1,T1_statistical_density_code,code,PLR,321,,-0.2236933972898834,0.38772871257310654,-0.5769327626148034,0.5639848773583648,-0.9836277097052546,0.5362409151254879,,0.02588920545712311,0.2725636126516654,0.924388637393042,0.018821645704851453,8
50serp,18,pre_rank,T1,T1_statistical_density_code,code,IRM,321,,2.558063651298133,3.4134868376651246,0.7493990083898745,0.45361674846071554,-4.132247612227033,9.2483749148233,,0.38654104899167135,0.7922087353526354,0.6259444434213899,0.01917087996089817,8
50serp,19,pre_rank,T1,T1_statistical_density_llm,llm,PLR,327,,0.034731733736272224,0.07296804746088462,0.47598551619310603,0.6340846965779923,-0.10828301130927095,0.1777464787818154,,-0.04361654975869485,0.04909845974113059,0.37502680409413025,0.019276752653997864,8
50serp,20,pre_rank,T1,T1_statistical_density_llm,llm,IRM,327,,0.8648298656983365,3.449183454125134,0.2507346672627756,0.8020192560427856,-5.895445480458388,7.625105211855061,,-1.1175719084900153,0.8177215125248203,0.172690972301348,0.020731661495184128,8
50serp,21,pre_rank,T2,T2_question_heading_code,code,PLR,327,,-1.8019995600996064,1.2399865215180734,-1.4532412480528252,0.14615678334934704,-4.232328483590131,0.6283293633909184,,-1.3466102508279105,0.7390821414567912,0.06939662193742824,0.022034028446457077,8
50serp,22,pre_rank,T2,T2_question_heading_code,code,IRM,327,,1.8525579511714232,3.9385807538441324,0.4703618046585157,0.6380965479739038,-5.866918476565693,9.572034378908539,,-1.3466102508279105,0.7390821414567912,0.06939662193742824,0.022034028446457077,8
50serp,23,pre_rank,T2,T2_question_heading_llm,llm,PLR,327,,-3.8917011511055684,1.2462377145364156,-3.1227598922034154,0.0017916384587599546,-6.334282187772452,-1.449120114438685,**,-2.936776144171312,0.7222729205722025,6.038483868669414e-05,0.03655095787319107,8
50serp,24,pre_rank,T2,T2_question_heading_llm,llm,IRM,327,,-6.897571423073488,5.311249355631095,-1.2986721129484424,0.19405647835523043,-17.307428873022005,3.512286026875028,,-2.936776144171312,0.7222729205722025,6.038483868669414e-05,0.03655095787319107,8
50serp,25,pre_rank,T3,T3_structured_data_code,code,PLR,327,,-1.3238991159170932,1.3790582027776135,-0.9600023503363221,0.33705403203733997,-4.02680352594575,1.3790052941115638,,-0.8768651484004419,1.1700930448796534,0.45417322851890113,0.01949442935645096,8
50serp,26,pre_rank,T3,T3_structured_data_code,code,IRM,327,,1.8699454808591596,9.537806845169548,0.1960561281240665,0.8445662344725458,-16.82381242717275,20.563703388891067,,-0.8768651484004419,1.1700930448796534,0.45417322851890113,0.01949442935645096,8
50serp,27,pre_rank,T3,T3_structured_data_llm,llm,PLR,327,,0.5780084280013532,1.2246427016910149,0.4719812784604243,0.6369401516706393,-1.8222471612428652,2.9782640172455714,,-0.41622324411983336,0.8141889249254702,0.609558403556685,0.018528708557719042,8
50serp,28,pre_rank,T3,T3_structured_data_llm,llm,IRM,327,,5.134933284965918,5.286661612009031,0.9712997845940335,0.3313990160350212,-5.226733073022247,15.496599642954083,,-0.41622324411983336,0.8141889249254702,0.609558403556685,0.018528708557719042,8
50serp,29,pre_rank,T4,T4_citation_authority_code,code,PLR,327,,-0.06802506993116428,2.0291699013878284,-0.03352359498563392,0.9732570503266708,-4.0451249951640005,3.909074855301672,,-2.274681849882325,2.177692148149722,0.2970324856595262,0.021435212575030893,8
50serp,30,pre_rank,T4,T4_citation_authority_code,code,IRM,327,,-3.830610134395765,8.665858987043467,-0.44203467193765805,0.6584641164220613,-20.815381644103716,13.154161375312185,,-3.386517504925701,3.1512287856270436,0.2833417208662783,0.021605500699637514,8
50serp,31,pre_rank,T4,T4_citation_authority_llm,llm,PLR,327,,0.702923102580695,0.7265827051749151,0.9674371514409714,0.33332554536869263,-0.721152831351823,2.126999036513213,,0.43634147542655216,0.6422797749006253,0.4974032749544927,0.01936550355486244,8
50serp,32,pre_rank,T4,T4_citation_authority_llm,llm,IRM,327,,5.8878878859052985,8.62972865350862,0.6822796083526264,0.49506216464801467,-11.026069471324936,22.80184524313553,,1.0251973691145277,1.3505501488967373,0.44835913439016,0.01958169903900031,8
50serp,33,post_rank,T1,T1_statistical_density_code,code,PLR,353,,0.0711845207388471,0.1631610016076517,0.4362839161163177,0.6626307498809451,-0.24860516609363212,0.3909742075713263,,0.07399765680702351,0.13973967361920897,0.5967739141696682,0.02266637193065435,8
50serp,34,post_rank,T1,T1_statistical_density_code,code,IRM,353,,-0.15924198736776254,1.7720396423738507,-0.08986367096982074,0.9283955506751391,-3.6323758655977474,3.3138918908622226,,-0.4361620501286162,0.44772201863217753,0.3306534563880131,0.023537380865265467,8
50serp,35,post_rank,T1,T1_statistical_density_llm,llm,PLR,360,,0.03585279840859988,0.040820692393772555,0.8782996148803552,0.3797811447605005,-0.04415428850718245,0.11585988532438221,,0.036282504139962285,0.027814199692414568,0.19293398849347013,0.026917910438003734,8
50serp,36,post_rank,T1,T1_statistical_density_llm,llm,IRM,360,,-0.8476964023220365,1.6017997402736093,-0.5292149705163758,0.5966563327439975,-3.9871662037039237,2.2917733990598506,,0.15350535407350388,0.45195106460682355,0.7343235505533058,0.02481023170325325,8
50serp,37,post_rank,T2,T2_question_heading_code,code,PLR,360,,-0.10579752195785194,0.6555224681242352,-0.16139419638901087,0.8717829373640504,-1.3905979505381585,1.1790029066224545,,0.18274358861045858,0.41344491937809635,0.6587605509511326,0.02487342098780143,8
50serp,38,post_rank,T2,T2_question_heading_code,code,IRM,360,,3.0425822233529756,3.2980979219468023,0.9225263455964944,0.35625409467782176,-3.4215709211491516,9.506735367855104,,0.18274358861045858,0.41344491937809635,0.6587605509511326,0.02487342098780143,8
50serp,39,post_rank,T2,T2_question_heading_llm,llm,PLR,360,,0.3010363119601506,0.7158763922637178,0.420514372611485,0.6741097320697318,-1.1020556342592043,1.7041282581795056,,0.09221683703601151,0.41268595017018644,0.8233115822005072,0.024717156598732193,8
50serp,40,post_rank,T2,T2_question_heading_llm,llm,IRM,360,,-0.7641754846843942,3.0293020433269837,-0.25226123831650843,0.8008391467853894,-6.7014983878988765,5.173147418530089,,0.09221683703601151,0.41268595017018644,0.8233115822005072,0.024717156598732193,8
50serp,41,post_rank,T3,T3_structured_data_code,code,PLR,360,,0.3865399043018118,0.7670301293600997,0.5039435734086293,0.6143010295384641,-1.1168115243010823,1.889891332904706,,0.5452009612360668,0.6448408889893167,0.39841974551797615,0.026194004790613068,8
50serp,42,post_rank,T3,T3_structured_data_code,code,IRM,360,,0.05173461221674963,4.311567912121001,0.011999025243533665,0.9904263927432998,-8.39878321243897,8.50225243687247,,0.5452009612360668,0.6448408889893167,0.39841974551797615,0.026194004790613068,8
50serp,43,post_rank,T3,T3_structured_data_llm,llm,PLR,360,,0.2329536964185016,0.6034109154705034,0.386061455711086,0.699451155006027,-0.9497099657820282,1.4156173586190315,,0.5888829072178567,0.4590756361433533,0.2004257331482538,0.026855455759437152,8
50serp,44,post_rank,T3,T3_structured_data_llm,llm,IRM,360,,-0.21133230993413893,1.747186206128045,-0.1209558026459437,0.9037260424646717,-3.6357543482302823,3.2130897283620046,,0.5888829072178567,0.4590756361433533,0.2004257331482538,0.026855455759437152,8
50serp,45,post_rank,T4,T4_citation_authority_code,code,PLR,360,,0.47327112491038825,0.8203151513206789,0.5769381732721116,0.5639812221541496,-1.1345170276506666,2.081059277471443,,0.14312111701269006,0.9500789710605863,0.8803454714572381,0.02472586243090391,8
50serp,46,post_rank,T4,T4_citation_authority_code,code,IRM,360,,-0.0007417864711827507,5.913174300742554,-0.00012544640720122186,0.9998999082487485,-11.590350450234407,11.588866877292041,,0.12506922925477124,1.6852702303778553,0.9408831706774112,0.02467898358921561,8
50serp,47,post_rank,T4,T4_citation_authority_llm,llm,PLR,360,,-0.3691901346500042,0.4003928756430359,-0.9220696898192314,0.35649222586150875,-1.1539457505767792,0.4155654812767708,,-0.2508212646876134,0.35277620713220104,0.47756237082352,0.02587999905158267,8
50serp,48,post_rank,T4,T4_citation_authority_llm,llm,IRM,360,,6.762495140080381,5.656144331170124,1.195601587253234,0.23185207177068057,-4.3233440403734535,17.848334320534217,,-0.33784896554059196,0.764237462619525,0.6587092053586493,0.025107728908067006,8
